method,path,body,single_q,double_q,spaces,braces,badwords,class
GET,/videos/hotstarint/aarya3trailer/1260028094/1260156240/v3/1698908228141/c811af9e895e40605b055c0c2c4227f1/video_h264_fhd_sdr_1698908228141/avc1/4_nGQodHn/init.mp4,,0,0,32,0,1,good
GET,/videos/hotstarint/aarya3trailer/1260028094/1260156240/v3/1698908228141/c811af9e895e40605b055c0c2c4227f1/audio_aac_1698908228141/hi/mp4a/3/seg-1.m4s,,0,0,32,0,1,good
GET,/videos/hotstarint/aarya3trailer/1260028094/1260156240/v3/1698908228141/c811af9e895e40605b055c0c2c4227f1/audio_aac_1698908228141/hi/mp4a/3/init.mp4,,0,0,32,0,1,good
GET,/videos/hotstarint/aarya3trailer/1260028094/1260156240/v3/1698908228141/c811af9e895e40605b055c0c2c4227f1/video_h264_fhd_sdr_1698908228141/avc1/4_nGQodHn/seg-1.m4s,,0,0,32,0,1,good
OPTIONS,/v2/events,,0,0,23,0,1,good
GET,/videos/hotstarint/aarya3trailer/1260028094/1260156240/v3/1698908228141/c811af9e895e40605b055c0c2c4227f1/audio_aac_1698908228141/hi/mp4a/3/init.mp4,,0,0,31,0,1,good
GET,/videos/hotstarint/aarya3trailer/1260028094/1260156240/v3/1698908228141/c811af9e895e40605b055c0c2c4227f1/video_h264_fhd_sdr_1698908228141/avc1/4_nGQodHn/init.mp4,,0,0,31,0,1,good
GET,/videos/hotstarint/aarya3trailer/1260028094/1260156240/v3/1698908228141/c811af9e895e40605b055c0c2c4227f1/audio_aac_1698908228141/hi/mp4a/3/seg-1.m4s,,0,0,31,0,1,good
GET,/videos/hotstarint/aarya3trailer/1260028094/1260156240/v3/1698908228141/c811af9e895e40605b055c0c2c4227f1/video_h264_fhd_sdr_1698908228141/avc1/4_nGQodHn/seg-1.m4s,,0,0,31,0,1,good
GET,"/image/upload/f_auto,h_148/sources/r1/cms/prod/5287/1365287-t-9b7448a95309",,0,0,29,0,1,good
GET,"/image/upload/f_auto,h_148/sources/r1/cms/prod/1900/1621900-t-3952b87473f3",,0,0,29,0,1,good
OPTIONS,/watch/v1/concurrency/1540026675,,0,0,22,0,1,good
GET,"/image/upload/f_auto,h_148/sources/r1/cms/prod/7400/1617400-t-636983e541a5",,0,0,29,0,1,good
GET,"/image/upload/f_auto,h_148/sources/r1/cms/prod/2054/1372054-t-c2e9536657b7",,0,0,29,0,1,good
GET,"/image/upload/f_auto,h_148/sources/r1/cms/prod/4910/1604910-t-f9d572c60b5e",,0,0,29,0,1,good
GET,"/image/upload/f_auto,h_148/sources/r1/cms/prod/6731/1616731-t-fdb50930c05c",,0,0,29,0,1,good
OPTIONS,/watch/v1/concurrency/1540025268,,0,0,22,0,1,good
